stop_id,stop_name,stop_lat,stop_lon
23_8,J. Perdana Menteri (Masjid Ash-Saliheen),0.0,0.0
23_9,J. Perdana Menteri (Masjid Ash-Saliheen),0.0,0.0
23_10,J. Perdana Menteri (PMO),0.0,0.0
23_11,J. Perdana Menteri (PMO),0.0,0.0
23_12,J. Berakas (Bolkiah Kem),0.0,0.0
23_13,J. Berakas (Off J. Stadium),0.0,0.0
23_14,J. Berakas (Times Sq & Airport Mall),0.0,0.0
23_15,J. Berakas (Shell TAIB),0.0,0.0
23_16,Berakas Kem,0.0,0.0
23_17,RPN Lambak Kiri (SR Dato Othman),0.0,0.0
23_18,RPN Lambak Kiri (Masjid L. Kiri/SM L. Kiri),0.0,0.0
23_19,J. Pasir Berakas (Kg Lambak),0.0,0.0
23_20,J. Pasir Berakas (Restoran Hayati),0.0,0.0
23_21,J. Pasir Berakas (Restoran Hayati),0.0,0.0
23_22,J. Pasir Berakas (SR Dato Matawangsa),0.0,0.0
23_23,J. Pasir Berakas (Masjid Lambak/SR Dato Mwangsa),0.0,0.0
23_24,J. Pasir Berakas (Masjid Lambak),0.0,0.0
23_25,J. Pasir Berakas (Kg Lambak),0.0,0.0
23_26,J. Utama Berakas (SM Berakas),0.0,0.0
23_27,J. Utama Berakas (SM Berakas),0.0,0.0
23_28,Brunei International Airport,0.0,0.0
23_29,Brunei International Airport,0.0,0.0
24_1,BSB Bus Terminal,0.0,0.0
24_2,J. Kianggeh (Terrace / Radisson),0.0,0.0
24_3,J. Kianggeh (Terrace / Radisson),0.0,0.0
24_4,J. Simpang (SOAS),0.0,0.0
24_5,J. Simpang (SOAS),0.0,0.0
24_6,J. Kumbang Pasang (STPRI / Riverview),0.0,0.0
24_7,J. Kumbang Pasang (STPRI),0.0,0.0
24_8,J. Perdana Menteri (Masjid Ash-Saliheen),0.0,0.0
24_9,J. Perdana Menteri (Masjid Ash-Saliheen),0.0,0.0
24_10,J. Perdana Menteri (PMO),0.0,0.0
24_11,J. Perdana Menteri (PMO),0.0,0.0
24_12,J. Berakas (Bolkiah Kem),0.0,0.0
24_13,J. Berakas (Off J. Stadium),0.0,0.0
24_14,J. Berakas (Times Sq & Airport Mall),0.0,0.0
24_15,J. Berakas (Shell TAIB),0.0,0.0
